Task_ID,Task_Description,Deadline,Assigned_To,Estimated_Hours,Category,Status,Priority
190,Design task to handle design and layout.,2025-11-12,Olivia,16,Design,In Progress,Medium
191,Development task to handle database and feature.,2025-10-25,Isabella,30,Development,In Progress,High
192,Design task to handle banner and UI.,2025-12-13,Mia,7,Design,In Progress,Low
193,Deployment task to handle environment and deploy.,2025-11-08,Sophia,16,Deployment,In Progress,Medium
194,Development task to handle module and function.,2025-11-11,Lucas,17,Development,In Progress,Medium
195,Deployment task to handle CI/CD and environment.,2025-11-04,Olivia,17,Deployment,In Progress,Medium
196,Design task to handle layout and UX.,2025-11-25,Olivia,5,Design,In Progress,Low
197,Development task to handle database and logic.,2025-10-23,Ava,40,Development,In Progress,High
198,Documentation task to handle instructions and reference.,2025-11-21,Liam,10,Documentation,In Progress,Low
199,Testing task to handle test and performance.,2025-11-12,Mia,19,Testing,In Progress,Medium
200,Deployment task to handle container and deploy.,2025-10-18,James,30,Deployment,In Progress,High
201,Documentation task to handle guide and instructions.,2025-11-20,Lucas,9,Documentation,In Progress,Low
202,Deployment task to handle deploy and cloud.,2025-11-01,Sophia,23,Deployment,In Progress,Medium
203,Development task to handle database and API.,2025-11-02,James,14,Development,In Progress,Medium
204,Documentation task to handle guide and instructions.,2025-12-10,Isabella,2,Documentation,Completed,Low
205,Development task to handle module and backend.,2025-10-22,Mia,26,Development,In Progress,High
206,Testing task to handle validation and cases.,2025-11-21,Olivia,8,Testing,In Progress,Low
207,Development task to handle database and module.,2025-10-25,Noah,21,Development,In Progress,Medium
208,Testing task to handle performance and cases.,2025-11-06,Liam,23,Testing,In Progress,Medium
209,Testing task to handle validation and bug.,2025-11-14,Liam,23,Testing,In Progress,Medium
210,Testing task to handle cases and test.,2025-11-12,Ava,13,Testing,In Progress,Medium
211,Development task to handle logic and database.,2025-10-22,James,26,Development,Pending,High
212,Documentation task to handle manual and instructions.,2025-12-12,Olivia,7,Documentation,In Progress,Low
213,Development task to handle backend and function.,2025-10-18,Liam,30,Development,In Progress,High
214,Deployment task to handle environment and container.,2025-10-27,Olivia,21,Deployment,In Progress,Medium
215,Documentation task to handle manual and docs.,2025-12-10,Noah,5,Documentation,Completed,Low
216,Testing task to handle QA and performance.,2025-11-08,Ava,20,Testing,In Progress,Medium
217,Testing task to handle bug and cases.,2025-11-06,Emma,14,Testing,In Progress,Medium
218,Deployment task to handle cloud and server.,2025-10-25,Liam,22,Deployment,In Progress,Medium
219,Deployment task to handle deploy and server.,2025-10-31,Ava,24,Deployment,In Progress,Medium
220,Documentation task to handle reference and manual.,2025-11-15,Mia,10,Documentation,In Progress,Low
221,Development task to handle API and backend.,2025-10-21,Ava,39,Development,Pending,High
222,Deployment task to handle CI/CD and environment.,2025-11-13,Noah,22,Deployment,In Progress,Medium
223,Documentation task to handle summary and instructions.,2025-12-07,James,8,Documentation,In Progress,Low
224,Documentation task to handle summary and docs.,2025-11-20,Lucas,2,Documentation,In Progress,Low
225,Development task to handle function and backend.,2025-10-22,Lucas,32,Development,In Progress,High
226,Development task to handle module and database.,2025-10-22,Mia,27,Development,Pending,High
227,Development task to handle API and database.,2025-10-25,Isabella,38,Development,Pending,High
228,Development task to handle API and database.,2025-11-01,Isabella,18,Development,In Progress,Medium
229,Deployment task to handle environment and production.,2025-10-19,Sophia,26,Deployment,Pending,High
230,Testing task to handle QA and validation.,2025-11-10,Emma,16,Testing,In Progress,Medium
231,Design task to handle mockup and design.,2025-10-27,Sophia,18,Design,In Progress,Medium
232,Documentation task to handle notes and docs.,2025-12-10,Ava,4,Documentation,In Progress,Low
233,Documentation task to handle instructions and summary.,2025-12-06,Olivia,2,Documentation,In Progress,Low
234,Development task to handle function and module.,2025-10-22,James,37,Development,Pending,High
235,Documentation task to handle manual and docs.,2025-12-13,James,10,Documentation,In Progress,Low
236,Documentation task to handle guide and notes.,2025-12-10,Liam,9,Documentation,In Progress,Low
237,Design task to handle design and UI.,2025-11-24,Olivia,9,Design,In Progress,Low
238,Design task to handle UI and color.,2025-12-06,Olivia,9,Design,In Progress,Low
239,Deployment task to handle cloud and production.,2025-10-30,Lucas,16,Deployment,In Progress,Medium
240,Development task to handle database and backend.,2025-10-27,Emma,22,Development,In Progress,Medium
241,Testing task to handle performance and test.,2025-11-02,Sophia,15,Testing,In Progress,Medium
242,Testing task to handle test and error.,2025-11-01,Noah,13,Testing,In Progress,Medium
243,Testing task to handle cases and test.,2025-11-27,Ava,9,Testing,In Progress,Low
244,Deployment task to handle cloud and deploy.,2025-10-29,Mia,24,Deployment,In Progress,Medium
245,Deployment task to handle deploy and environment.,2025-10-29,Emma,22,Deployment,In Progress,Medium
246,Deployment task to handle container and production.,2025-10-26,Emma,22,Deployment,In Progress,Medium
247,Design task to handle UI and color.,2025-11-06,Lucas,15,Design,In Progress,Medium
248,Development task to handle function and database.,2025-10-24,Liam,32,Development,Pending,High
249,Testing task to handle cases and bug.,2025-11-02,Olivia,20,Testing,In Progress,Medium
250,Development task to handle feature and database.,2025-11-04,Liam,17,Development,In Progress,Medium
251,Development task to handle API and backend.,2025-11-06,Isabella,22,Development,In Progress,Medium
252,Design task to handle UI and color.,2025-11-12,Mia,18,Design,In Progress,Medium
253,Development task to handle logic and function.,2025-10-20,Mia,38,Development,In Progress,High
254,Deployment task to handle deploy and container.,2025-10-20,Sophia,28,Deployment,Pending,High
255,Development task to handle feature and backend.,2025-11-10,Isabella,24,Development,In Progress,Medium
256,Testing task to handle bug and cases.,2025-10-29,Mia,19,Testing,In Progress,Medium
257,Design task to handle banner and layout.,2025-12-10,Emma,6,Design,In Progress,Low
258,Development task to handle module and logic.,2025-10-18,James,29,Development,Pending,High
259,Testing task to handle error and QA.,2025-11-05,Ava,20,Testing,In Progress,Medium
260,Development task to handle feature and database.,2025-10-25,Isabella,35,Development,Pending,High
261,Development task to handle feature and API.,2025-11-03,Sophia,12,Development,In Progress,Medium
262,Testing task to handle bug and QA.,2025-11-09,Ava,19,Testing,In Progress,Medium
263,Design task to handle layout and UX.,2025-11-15,Mia,10,Design,In Progress,Low
264,Development task to handle module and API.,2025-10-25,Mia,37,Development,In Progress,High
265,Design task to handle UI and mockup.,2025-11-11,Noah,18,Design,In Progress,Medium
266,Documentation task to handle notes and docs.,2025-11-15,Emma,3,Documentation,Completed,Low
267,Testing task to handle QA and validation.,2025-11-11,Noah,22,Testing,In Progress,Medium
268,Documentation task to handle notes and guide.,2025-12-02,Isabella,4,Documentation,In Progress,Low
269,Testing task to handle QA and error.,2025-11-15,Olivia,9,Testing,In Progress,Low
270,Testing task to handle error and bug.,2025-11-07,Lucas,11,Testing,In Progress,Medium
271,Development task to handle function and module.,2025-10-18,Isabella,40,Development,Pending,High
272,Testing task to handle validation and cases.,2025-11-11,Mia,21,Testing,In Progress,Medium
273,Documentation task to handle notes and docs.,2025-12-08,Liam,2,Documentation,Completed,Low
274,Development task to handle backend and function.,2025-10-23,Emma,30,Development,In Progress,High
275,Documentation task to handle docs and guide.,2025-12-07,Sophia,4,Documentation,In Progress,Low
276,Design task to handle design and mockup.,2025-11-14,James,7,Design,In Progress,Low
277,Deployment task to handle environment and CI/CD.,2025-10-28,Noah,25,Deployment,In Progress,Medium
278,Deployment task to handle CI/CD and deploy.,2025-10-30,Isabella,11,Deployment,In Progress,Medium
279,Deployment task to handle environment and cloud.,2025-10-19,James,28,Deployment,Pending,High
280,Deployment task to handle environment and CI/CD.,2025-11-08,Isabella,20,Deployment,In Progress,Medium
281,Documentation task to handle instructions and reference.,2025-11-22,Sophia,5,Documentation,In Progress,Low
282,Testing task to handle cases and validation.,2025-10-26,Isabella,13,Testing,In Progress,Medium
283,Development task to handle backend and function.,2025-10-20,Lucas,34,Development,In Progress,High
284,Design task to handle UI and design.,2025-10-25,Mia,15,Design,In Progress,Medium
285,Testing task to handle performance and test.,2025-11-13,Olivia,12,Testing,In Progress,Medium
286,Design task to handle color and UI.,2025-11-07,Ava,14,Design,In Progress,Medium
287,Development task to handle API and feature.,2025-10-26,James,16,Development,In Progress,Medium
288,Design task to handle design and layout.,2025-10-25,Mia,15,Design,In Progress,Medium
289,Design task to handle design and UX.,2025-11-30,Ava,7,Design,Completed,Low
290,Deployment task to handle server and cloud.,2025-10-22,Mia,26,Deployment,Pending,High
291,Deployment task to handle environment and production.,2025-11-09,Liam,20,Deployment,In Progress,Medium
292,Deployment task to handle cloud and deploy.,2025-11-05,James,22,Deployment,In Progress,Medium
293,Deployment task to handle deploy and CI/CD.,2025-10-31,Sophia,13,Deployment,In Progress,Medium
294,Design task to handle UX and banner.,2025-11-22,James,5,Design,In Progress,Low
295,Testing task to handle error and cases.,2025-11-05,Olivia,14,Testing,In Progress,Medium
296,Design task to handle UX and UI.,2025-12-08,Liam,6,Design,Completed,Low
297,Design task to handle mockup and design.,2025-11-17,Noah,6,Design,Completed,Low
298,Deployment task to handle server and deploy.,2025-11-07,James,22,Deployment,In Progress,Medium
299,Design task to handle UI and banner.,2025-11-06,Emma,13,Design,In Progress,Medium
300,Testing task to handle bug and error.,2025-11-10,Olivia,20,Testing,In Progress,Medium
301,Design task to handle UX and color.,2025-11-03,Ava,16,Design,In Progress,Medium
302,Design task to handle color and UI.,2025-11-29,Emma,8,Design,In Progress,Low
303,Development task to handle feature and backend.,2025-10-18,Lucas,28,Development,Pending,High
304,Development task to handle database and module.,2025-10-29,Sophia,17,Development,In Progress,Medium
305,Documentation task to handle reference and docs.,2025-11-15,Lucas,9,Documentation,In Progress,Low
306,Documentation task to handle notes and reference.,2025-12-04,Olivia,3,Documentation,In Progress,Low
307,Testing task to handle validation and QA.,2025-10-30,Noah,25,Testing,In Progress,Medium
308,Deployment task to handle environment and deploy.,2025-11-14,Noah,12,Deployment,In Progress,Medium
309,Documentation task to handle summary and notes.,2025-11-18,Noah,6,Documentation,In Progress,Low
310,Deployment task to handle deploy and CI/CD.,2025-10-19,Isabella,26,Deployment,Pending,High
311,Documentation task to handle instructions and manual.,2025-11-14,Noah,3,Documentation,In Progress,Low
312,Design task to handle design and UI.,2025-11-23,Liam,7,Design,In Progress,Low
313,Development task to handle logic and backend.,2025-10-26,Emma,19,Development,In Progress,Medium
314,Deployment task to handle production and cloud.,2025-12-03,Sophia,10,Deployment,In Progress,Low
315,Design task to handle design and color.,2025-11-25,Mia,5,Design,In Progress,Low
316,Development task to handle database and API.,2025-10-21,Liam,36,Development,In Progress,High
317,Development task to handle backend and API.,2025-10-20,Emma,39,Development,In Progress,High
318,Development task to handle module and logic.,2025-10-22,Ava,31,Development,In Progress,High
319,Deployment task to handle server and container.,2025-11-07,Olivia,21,Deployment,In Progress,Medium
320,Development task to handle logic and database.,2025-10-27,Mia,18,Development,In Progress,Medium
321,Testing task to handle performance and cases.,2025-10-30,James,21,Testing,In Progress,Medium
322,Documentation task to handle manual and reference.,2025-11-19,James,2,Documentation,Completed,Low
323,Deployment task to handle container and server.,2025-11-04,Mia,21,Deployment,In Progress,Medium
324,Testing task to handle performance and error.,2025-11-15,Sophia,10,Testing,In Progress,Low
325,Testing task to handle validation and bug.,2025-11-01,Ava,17,Testing,In Progress,Medium
326,Deployment task to handle CI/CD and environment.,2025-12-09,Liam,8,Deployment,In Progress,Low
327,Deployment task to handle deploy and environment.,2025-10-27,Olivia,22,Deployment,In Progress,Medium
328,Documentation task to handle instructions and notes.,2025-11-19,James,7,Documentation,Completed,Low
329,Documentation task to handle guide and manual.,2025-12-14,Mia,8,Documentation,In Progress,Low
330,Development task to handle API and logic.,2025-10-29,Isabella,20,Development,In Progress,Medium
331,Development task to handle API and function.,2025-11-10,Isabella,11,Development,In Progress,Medium
332,Documentation task to handle reference and manual.,2025-11-20,Emma,3,Documentation,Completed,Low
333,Testing task to handle QA and validation.,2025-11-08,Ava,23,Testing,In Progress,Medium
334,Design task to handle color and layout.,2025-11-18,Sophia,9,Design,In Progress,Low
335,Development task to handle database and module.,2025-10-18,Emma,29,Development,In Progress,High
336,Development task to handle module and function.,2025-10-20,Mia,38,Development,In Progress,High
337,Deployment task to handle environment and cloud.,2025-10-23,Ava,30,Deployment,Pending,High
338,Testing task to handle performance and test.,2025-11-29,Olivia,10,Testing,In Progress,Low
339,Documentation task to handle guide and docs.,2025-11-24,Isabella,2,Documentation,In Progress,Low
